,Category,Product,Price
101,SPESA BIO,"Esselunga Equilibrio, gallette mais senza glutine 120 g","Euro 13,26 / kg"
102,SPESA BIO,"Esselunga Equilibrio, gallette riso senza glutine 150 g","Euro 10,61 / kg"
103,SPESA BIO,"Esselunga Equilibrio, triangoli mais senza glutine 100 g","Euro 12,70 / kg"
104,SPESA BIO,"Esselunga Equilibrio, fette croccanti riso senza glutine conf. 10x20 g","Euro 10,45 / kg"
105,SPESA BIO,"Esselunga Equilibrio, fette croccanti mais senza glutine conf. 10x18 g","Euro 10,45 / kg"
106,SPESA BIO,"Esselunga Equilibrio, piadina di grano Kamut da conservare in frigorifero 3 pezzi 225 g","Euro 15,96 / kg"
107,SPESA BIO,"Esselunga Equilibrio, Triangoli riso senza glutine 100 g","Euro 12,70 / kg"
108,SPESA BIO,"Esselunga Equilibrio, mini gallette mais senza glutine conf. 6x20 g","Euro 14,59 / kg"
109,SPESA BIO,"Esselunga Equilibrio, minipiadina di grano Kamut da conservare in frigorifero 8 pezzi 200 g","Euro 19,95 / kg"
110,SPESA BIO,"Esselunga Bio, banane biologiche  850 g","Euro 2,98 / kg"
111,SPESA BIO,"Esselunga Bio, 10 uova fresche biologiche 10 pezzi","Euro 0,43 / pz"
112,SPESA BIO,"Esselunga Bio, misto per soffritto biologico surgelato 300 g","Euro 5,84 / kg"
113,SPESA BIO,"Esselunga Bio, zucchine biologiche  650 g","Euro 3,48 / kg"
114,SPESA BIO,"Esselunga Bio, Latte UHT a lunga conservazione intero 1 l","Euro 1,69 / l"
115,SPESA BIO,"Esselunga Bio, Latte UHT a lunga conservazione parzialmente scremato 1 l","Euro 1,69 / l"
116,SPESA BIO,"Esselunga Bio, avocado Hass biologico 300 g","Euro 10,94 / kg"
117,SPESA BIO,"Esselunga Equilibrio, bevanda vegetale soia senza zuccheri aggiunti 1 l","Euro 1,89 / l"
118,SPESA BIO,"Esselunga Bio, spinaci biologici 400 g","Euro 7,45 / kg"
119,SPESA BIO,"Esselunga, Bio Pane morbido integrale 400 g","Euro 3,95 / kg"
120,SPESA BIO,"Esselunga Equilibrio, fusilli integrali n.48 500 g","Euro 1,78 / kg"
121,SPESA BIO,"Esselunga Bio, mele Golden biologiche  1000 g","Euro 2,98 / kg"
122,SPESA BIO,"Esselunga Bio, melanzane biologiche  650 g","Euro 3,98 / kg"
123,SPESA BIO,"Esselunga Bio, spinacino biologico 100 g","Euro 9,80 / kg"
124,SPESA BIO,"Esselunga Bio, pomodorini grappolo biologici 500 g","Euro 0,60 / hg"
125,SPESA BIO,"Esselunga, Bio 36 Fette biscottate integrali biologiche 320 g","Euro 4,97 / kg"
126,SPESA BIO,"Esselunga Equilibrio, pennette rigate integrali n.66 500 g","Euro 1,78 / kg"
127,SPESA BIO,"Esselunga, Bio spinacino 100 g","Euro 19,80 / kg"
128,SPESA BIO,"Esselunga Bio, prezzemolo e aglio tritati biologici surgelati 100 g","Euro 14,90 / kg"
129,SPESA BIO,"Esselunga Equilibrio, triangoli senza glutine mais conf. 6x20 g","Euro 18,26 / kg"
130,SPESA BIO,"Esselunga Bio, scalogno tritato surgelato biologico 100 g","Euro 11,50 / kg"
131,SPESA BIO,"Esselunga Bio, passato di verdure 310 g","Euro 8,01 / kg"
132,SPESA BIO,"Esselunga Equilibrio, Seitan al naturale conf. 2x125 g","Euro 11,96 / kg"
133,SPESA BIO,"Esselunga Bio, carote tagliate biologiche 200 g","Euro 9,90 / kg"
134,SPESA BIO,"Esselunga Bio, castagne 100 g","Euro 26,90 / kg"
135,SPESA BIO,"Esselunga Bio, arachidi tostate con guscio biologiche 250 g","Euro 9,96 / kg"
136,SPESA BIO,"Esselunga Bio, noci biologiche 400 g","Euro 12,48 / kg"
137,SPESA BIO,"Esselunga Equilibrio, tortiglioni integrali n.49 500 g","Euro 1,78 / kg"
138,SPESA BIO,"Esselunga Bio, ginger biologico 250 g","Euro 8,72 / kg"
139,SPESA BIO,"Esselunga Bio, cipolla rossa tritata surgelata biologica 100 g","Euro 11,50 / kg"
140,SPESA BIO,"Esselunga Bio, 36 Fette biscottate 320 g","Euro 4,97 / kg"
141,SPESA BIO,"Esselunga Bio, fagiolini Boby verdi biologici 300 g","Euro 10,94 / kg"
142,SPESA BIO,"Esselunga Equilibrio, mezze maniche integrali n.51 500 g","Euro 1,78 / kg"
143,SPESA BIO,"Esselunga Bio, cetrioli biologici  800 g","Euro 2,78 / kg"
144,SPESA BIO,"Esselunga Bio, anacardi al naturale sgusciati 100 g","Euro 24,90 / kg"
145,SPESA BIO,"Esselunga Bio, minestrone di verdure 310 g","Euro 8,01 / kg"
146,SPESA BIO,"Esselunga Equilibrio, spaghetti integrali n.3 500 g","Euro 1,78 / kg"
147,SPESA BIO,"Esselunga Bio, Pesto con Basilico Genovese DOP senza aglio biologico 140 g","Euro 28,50 / kg"
148,SPESA BIO,"Esselunga Bio, zuppa di kamut e legumi biologica confezionata 310 g","Euro 8,01 / kg"
149,SPESA BIO,"Esselunga Equilibrio, piadina fresca integrale 3 pezzi 225 g","Euro 15,52 / kg"
150,SPESA BIO,"Esselunga Bio, aglio tritato biologico surgelato 75 g","Euro 19,87 / kg"
151,SPESA BIO,"Esselunga Bio, frutta frullata pera conf. 2x100 g","Euro 7,45 / kg"
152,SPESA BIO,"Esselunga Bio, zucca biologica  1250 g","Euro 2,48 / kg"
153,SPESA BIO,"Esselunga Bio, scalogno biologico 300 g","Euro 7,94 / kg"
154,SPESA BIO,"Esselunga Bio, zuppa di orzo e farro biologico confezionato 310 g","Euro 8,01 / kg"
