Category,Product,Price,Quantity
spesa bio,"esselunga bio, anacardi tostati sgusciati biologici 200 g",26.45 € / kg,0.2 kg
spesa bio,"esselunga bio, frutta frullata mela e mirtillo conf. 2x100 g",7.45 € / kg,0.2 kg
spesa bio,"esselunga bio, mix di semi biologici 200 g",13.25 € / kg,0.2 kg
spesa bio,"esselunga bio, frutta frullata mela e pesca conf. 2x100 g",7.45 € / kg,0.2 kg
spesa bio,"esselunga bio, anacardi sgusciati biologici 30 g",39.67 € / kg,0.03 kg
spesa bio,"esselunga bio, confettura extra di fichi 350 g",9.98 € / kg,0.35 kg
spesa bio,"esselunga bio, semi di sesamo tostati biologici 200 g",11.95 € / kg,0.2 kg
spesa bio,"esselunga bio, noci sgusciate biologiche 30 g",39.67 € / kg,0.03 kg
spesa bio,"esselunga bio, mandorle sgusciate biologiche 30 g",39.67 € / kg,0.03 kg
spesa bio,"esselunga bio, semi di zucca tostati biologici 200 g",14.95 € / kg,0.2 kg
spesa bio,"esselunga bio, spinaci biologici 400 g",7.20 € / kg,0.4 kg
spesa bio,"esselunga bio, semi di lino dorato tostati biologici 200 g",9.95 € / kg,0.2 kg
spesa bio,"esselunga bio, piselli conf. 2x160 g - peso netto sgocc. 2x140 g",8.90 € / kg,0.28 kg
spesa bio,"esselunga bio, semi di chia bianca biologici 200 g",13.25 € / kg,0.2 kg
spesa bio,"esselunga bio, asparagi biologici 300 g",9.27 € / kg,0.3 kg
spesa bio,"esselunga bio, branzino eviscerato biologico  500 g",19.90 € / kg,0.5 kg
spesa bio,"esselunga bio, noci del brasile sgusciate altromercato biologiche 100 g",34.90 € / kg,0.1 kg
spesa bio,"esselunga bio, orata eviscerata biologica  500 g",19.90 € / kg,0.5 kg
spesa bio,"esselunga bio, tisana rilassante 16 filtri 32 g",81.57 € / kg,0.032 kg
spesa bio,"esselunga bio, cranberry mirtilli rossi essiccati biologici 30 g",39.67 € / kg,0.03 kg
spesa bio,"esselunga bio, tisana drenante 16 filtri 32 g",81.57 € / kg,0.032 kg
spesa bio,"esselunga bio, semi di girasole tostati biologici 200 g",11.15 € / kg,0.2 kg
spesa bio,"esselunga bio, tisana digestiva 16 filtri 32 g",81.57 € / kg,0.032 kg
spesa bio,"esselunga bio, mix con mandorle biologico 30 g",39.67 € / kg,0.03 kg
spesa bio,"esselunga bio, crostatine all'albicocca 8 pezzi 336 g",6.82 € / kg,0.336 kg
spesa bio,"esselunga bio, carciofi tagliati biologici 300 g",9.94 € / kg,0.3 kg
spesa bio,"esselunga bio, altromercato cioccolato al latte 100 g",16.90 € / kg,0.1 kg
spesa bio,"esselunga bio, tisana depurativa 16 filtri 32 g",81.57 € / kg,0.032 kg
spesa bio,mazzancolla tropicale biologica 190 g 190 g,23.90 € / kg,0.19 kg
spesa bio,"esselunga bio, altromercato tè nero 20 filtri 40 g",54.75 € / kg,0.04 kg
spesa bio,"esselunga, bio semi di canapa biologici 200 g",19.85 € / kg,0.2 kg
spesa bio,"esselunga bio, zenzero candito a cubetti biologico 30 g",39.67 € / kg,0.03 kg
spesa bio,"esselunga bio, farro perlato precotto biologico 250 g",9.96 € / kg,0.25 kg
spesa bio,"esselunga bio, nocciole sgusciate biologiche 30 g",39.67 € / kg,0.03 kg
spesa bio,"esselunga bio, mele pinova biologiche 700 g",3.83 € / kg,0.7 kg
spesa bio,"esselunga bio, orzo perlato precotto biologico 250 g",8.76 € / kg,0.25 kg
spesa bio,"esselunga bio, zucchero di canna integrale altromercato biologico 500 g",4.58 € / kg,0.5 kg
spesa bio,"esselunga bio, mix con goji biologico 30 g",39.67 € / kg,0.03 kg
spesa bio,"esselunga bio, mix con arachidi biologico 30 g",39.67 € / kg,0.03 kg
spesa bio,"esselunga bio, mix con anacardi biologico 30 g",39.67 € / kg,0.03 kg
spesa bio,"esselunga bio, semi di soia tostati biologici 200 g",13.25 € / kg,0.2 kg
spesa bio,"cerreto, i presto cotti orzo 240 g",12.42 € / kg,0.24 kg
spesa bio,"esselunga bio, mele stark biologiche  850 g",2.78 € / kg,0.85 kg
spesa bio,"esselunga bio, verdure miste biologiche cassetta  4500 g",2.98 € / kg,4.5 kg
