Category,Product,Price,Quantity
surgelati e gelati,"esselunga, ghiacciolo alla menta 6 pezzi 390 g",5.88 € / kg,0.39 kg
surgelati e gelati,"esselunga, biscotto panna e cacao 8 pezzi 400 g",7.73 € / kg,0.4 kg
surgelati e gelati,"esselunga, melanzane grigliate surgelate 450 g",5.89 € / kg,0.45 kg
surgelati e gelati,"esselunga bio, scalogno tritato surgelato biologico 100 g",11.50 € / kg,0.1 kg
surgelati e gelati,"esselunga, 4 crêpes mozzarella e formaggio surgelate 250 g",5.40 € / kg,0.25 kg
surgelati e gelati,"esselunga, pizza capricciosa surgelata 400 g",6.98 € / kg,0.4 kg
surgelati e gelati,"esselunga, cuori di carciofo a spicchi surgelati 450 g",10.34 € / kg,0.45 kg
surgelati e gelati,"esselunga, ghiacciolo gusto limone 6 pezzi 390 g",5.88 € / kg,0.39 kg
surgelati e gelati,"esselunga, ghiacciolo all'amarena 6 pezzi 390 g",5.88 € / kg,0.39 kg
surgelati e gelati,"esselunga, gelateria menta con scaglie di cioccolato fondente 500 g",6.38 € / kg,0.5 kg
surgelati e gelati,"esselunga, spinaci saporiti con mozzarella e formaggio surgelati 600 g",4.66 € / kg,0.6 kg
surgelati e gelati,"esselunga, zucchine a disco surgelate 600 g",3.99 € / kg,0.6 kg
surgelati e gelati,"esselunga, gelateria stracciatella 500 g",6.38 € / kg,0.5 kg
surgelati e gelati,"esselunga, minisnack biscottogelato 8 pezzi 440 g",8.16 € / kg,0.44 kg
surgelati e gelati,"esselunga, zuppa contadina surgelata 600 g",4.32 € / kg,0.6 kg
surgelati e gelati,"esselunga, maxi stecco mandorlato 4 pezzi 300 g",9.97 € / kg,0.3 kg
surgelati e gelati,"esselunga, pizza prosciutto e funghi surgelata 375 g",7.44 € / kg,0.375 kg
surgelati e gelati,"esselunga, mini cono panna e cioccolato 8 pezzi 320 g",10.29 € / kg,0.32 kg
surgelati e gelati,"esselunga, patate da forno prefritte e surgelate 750 g",2.79 € / kg,0.75 kg
surgelati e gelati,"esselunga, funghi champignons surgelati 450 g",3.81 € / kg,0.45 kg
surgelati e gelati,"esselunga, piselli con prosciutto cotto surgelati 450 g",5.54 € / kg,0.45 kg
surgelati e gelati,"esselunga bio, cipolla rossa tritata surgelata biologica 100 g",11.50 € / kg,0.1 kg
surgelati e gelati,"esselunga, cavolfiori a rosette surgelati 600 g",3.82 € / kg,0.6 kg
surgelati e gelati,"esselunga, cimette di rapa surgelate 450 g",9.76 € / kg,0.45 kg
surgelati e gelati,"esselunga, stecco croccante 6 pezzi 360 g",9.14 € / kg,0.36 kg
surgelati e gelati,"esselunga, filetti di tonno a pinne gialle surgelati 250 g",17.56 € / kg,0.25 kg
surgelati e gelati,"esselunga, misto funghi trifolati surgelato 300 g",12.51 € / kg,0.3 kg
surgelati e gelati,"esselunga, tagliolini allo scoglio surgelati 600 g",7.16 € / kg,0.6 kg
surgelati e gelati,"esselunga, gelateria sorbetto al limone 500 g",6.38 € / kg,0.5 kg
surgelati e gelati,"esselunga, gelateria pistacchio 500 g",8.18 € / kg,0.5 kg
surgelati e gelati,"esselunga, gelateria panna variegato amarena 500 g",6.98 € / kg,0.5 kg
surgelati e gelati,"esselunga, ghiacciolo all'arancia 6 pezzi 390 g",5.88 € / kg,0.39 kg
surgelati e gelati,"esselunga, polpo surgelato 500 g",19.58 € / kg,0.5 kg
surgelati e gelati,"esselunga, fagioli borlotti surgelati 600 g",3.92 € / kg,0.6 kg
surgelati e gelati,"esselunga, taccole surgelate 600 g",4.32 € / kg,0.6 kg
surgelati e gelati,"esselunga, coppette fior di latte & cacao 8 pezzi 400 g",8.98 € / kg,0.4 kg
surgelati e gelati,"esselunga, tagliatelle ai funghi con champignon e porcini surgelate 600 g",6.32 € / kg,0.6 kg
surgelati e gelati,"esselunga, gelateria caffè 500 g",6.38 € / kg,0.5 kg
surgelati e gelati,"esselunga, tranci di pesce spada surgelati  500 g",0.02 € / g,0.5 kg
surgelati e gelati,"esselunga, maxi stecco 4 pezzi 300 g",9.64 € / kg,0.3 kg
surgelati e gelati,"esselunga, filetti di platessa impanati e surgelati 300 g",12.97 € / kg,0.3 kg
surgelati e gelati,"esselunga, gelateria panna variegato al caramello 500 g",6.98 € / kg,0.5 kg
surgelati e gelati,"esselunga, friarielli in foglia surgelati 750 g",3.67 € / kg,0.75 kg
surgelati e gelati,"esselunga, carote a rondelle surgelate 600 g",3.92 € / kg,0.6 kg
surgelati e gelati,"esselunga, minibiscotto alla panna 8 pezzi 240 g",12.88 € / kg,0.24 kg
surgelati e gelati,"esselunga, miniricoperto gelato alla vaniglia ricoperto di cioccolato al latte 8 pezzi 320 g",10.29 € / kg,0.32 kg
surgelati e gelati,"esselunga, gamberetti boreali cotti sgusciati e surgelati 200 g",24.95 € / kg,0.2 kg
surgelati e gelati,"esselunga, gelateria cioccolato 500 g",6.38 € / kg,0.5 kg
surgelati e gelati,"esselunga bio, aglio tritato biologico surgelato 75 g",19.87 € / kg,0.075 kg
surgelati e gelati,"esselunga, pizza 4 formaggi surgelata 360 g",7.75 € / kg,0.36 kg
surgelati e gelati,"esselunga, dessert panna 320 g",8.72 € / kg,0.32 kg
surgelati e gelati,"esselunga, punte di asparagi surgelate 300 g",13.17 € / kg,0.3 kg
surgelati e gelati,"esselunga, fave surgelate 450 g",5.89 € / kg,0.45 kg
surgelati e gelati,"esselunga, maxi stecco bianco 4 pezzi 300 g",9.64 € / kg,0.3 kg
surgelati e gelati,"esselunga, miniricoperto gelato al caffè ricoperto di cioccolato fondente 8 pezzi 320 g",10.29 € / kg,0.32 kg
surgelati e gelati,"esselunga, patate e carciofi surgelati 450 g",7.09 € / kg,0.45 kg
surgelati e gelati,"esselunga, gelateria nocciola 500 g",8.18 € / kg,0.5 kg
surgelati e gelati,"esselunga, gelati gusto banana 8 pezzi 360 g",8.03 € / kg,0.36 kg
surgelati e gelati,"esselunga, gelateria yogurt 500 g",6.38 € / kg,0.5 kg
surgelati e gelati,"esselunga, cozze cilene sgusciate e surgelate 300 g",13.31 € / kg,0.3 kg
surgelati e gelati,"esselunga, pollo e patate surgelati 500 g",8.98 € / kg,0.5 kg
surgelati e gelati,"esselunga, bucatini all'amatriciana con pomodoro e pancetta surgelati 600 g",6.66 € / kg,0.6 kg
surgelati e gelati,"esselunga, gelateria fragola 500 g",6.38 € / kg,0.5 kg
surgelati e gelati,"esselunga, gelateria zabaione 500 g",6.38 € / kg,0.5 kg
surgelati e gelati,"esselunga, gelateria panna variegato al cioccolato 500 g",6.98 € / kg,0.5 kg
surgelati e gelati,"esselunga, cuori di carciofo surgelati 450 g",10.87 € / kg,0.45 kg
surgelati e gelati,"esselunga, ghiacciolo alla cola 6 pezzi 390 g",5.88 € / kg,0.39 kg
surgelati e gelati,"esselunga, calamari patagonici interi congelati 400 g",15.48 € / kg,0.4 kg
surgelati e gelati,"esselunga, gelateria crema e nocciola 1 kg",4.99 € / kg,1.0 kg
surgelati e gelati,"esselunga, gelateria panna e cioccolato 1 kg",4.99 € / kg,1.0 kg
surgelati e gelati,"esselunga equilibrio, burger vegetali surgelati a base di lenticchie e quinoa conf. 2x75 g",10.21 € / kg,0.15 kg
surgelati e gelati,"esselunga, gelateria fragola e limone 1 kg",4.99 € / kg,1.0 kg
surgelati e gelati,"esselunga, spaghetti alla carbonara con pancetta affumicata surgelati 600 g",6.92 € / kg,0.6 kg
surgelati e gelati,"esselunga, sughetto allo scoglio surgelato 450 g",9.54 € / kg,0.45 kg
surgelati e gelati,"esselunga, gelateria panna variegato al caffè 500 g",6.98 € / kg,0.5 kg
surgelati e gelati,"esselunga equilibrio, burger vegetali surgelati a base di fave fagioli neri e broccoli conf. 2x75 g",10.21 € / kg,0.15 kg
surgelati e gelati,"esselunga, sughetto alle vongole surgelato 450 g",9.54 € / kg,0.45 kg
surgelati e gelati,"esselunga, bieta da costa surgelata 750 g",3.32 € / kg,0.75 kg
surgelati e gelati,"esselunga, pizzette surgelate 400 g",11.48 € / kg,0.4 kg
surgelati e gelati,"esselunga equilibrio, burger vegetali surgelati a base di fave quinoa e curcuma conf. 2x75 g",10.21 € / kg,0.15 kg
surgelati e gelati,"esselunga, gelateria caffè e stracciatella 1 kg",4.99 € / kg,1.0 kg
surgelati e gelati,"esselunga, sughetto alle cozze surgelato 450 g",9.54 € / kg,0.45 kg
surgelati e gelati,"esselunga, filetti di platessa surgelati 200 g",18.45 € / kg,0.2 kg
surgelati e gelati,"esselunga, cono in miniatura panna e cioccolato 12 pezzi 225 g",17.74 € / kg,0.225 kg
surgelati e gelati,"esselunga, cavolo nero foglia a foglia surgelato 450 g",5.98 € / kg,0.45 kg
surgelati e gelati,"esselunga, salatini assortiti surgelati 400 g",11.48 € / kg,0.4 kg
surgelati e gelati,"esselunga, cicoria surgelata 1 kg",2.95 € / kg,1.0 kg
surgelati e gelati,"esselunga, filetti di platessa surgelati 400 g",17.98 € / kg,0.4 kg
surgelati e gelati,"smart, patate fritte surgelate 2,5 kg",1.39 € / kg,2.5 kg
surgelati e gelati,"ice factory, ghiaccio gourmet 1,25 kg",1.84 € / kg,1.25 kg
surgelati e gelati,"findus, pisellini primavera surgelati 825 g",7.14 € / kg,0.825 kg
surgelati e gelati,"pizzoli, we love croccanti surgelate 750 g",2.87 € / kg,0.75 kg
surgelati e gelati,"findus, minestrone tradizione con verdure igp e dop surgelato 1100 g",4.27 € / kg,1.1 kg
surgelati e gelati,"cameo, pizza regina alta margherita surgelata 375 g",6.99 € / kg,0.375 kg
surgelati e gelati,"mccain, le patatine originali patatine fritte surgelate 1.040 g",2.42 € / kg,0.04 kg
surgelati e gelati,"findus, sofficini pomodoro più mozzarella surgelati 4 pezzi 250 g",11.96 € / kg,0.25 kg
surgelati e gelati,"findus, minestrone tradizione surgelato 400 g",5.73 € / kg,0.4 kg
surgelati e gelati,"smart, filetti di merluzzo atlantico senza pelle surgelati 1 kg",7.99 € / kg,1.0 kg
surgelati e gelati,"pizza italia, 5 focaccine alla toscana surgelate 450 g",6.43 € / kg,0.45 kg
surgelati e gelati,"orogel, il benessere leggerezza minestrone surgelato 1 kg",4.10 € / kg,1.0 kg
surgelati e gelati,"smart, piselli surgelati 1,5 kg",1.80 € / kg,1.5 kg
surgelati e gelati,"smart, nasello atlantico decapitato congelato  450 g",6.49 € / kg,0.45 kg
surgelati e gelati,"findus, sofficini prosciutto cotto più mozzarella surgelati 4 pezzi 250 g",11.96 € / kg,0.25 kg
surgelati e gelati,"pizzoli, patasnella patatine surgelate 1 kg",3.29 € / kg,1.0 kg
surgelati e gelati,"italpizza, 26x38 margherita surgelata 485 g",9.88 € / kg,0.485 kg
surgelati e gelati,"smart, spinaci in foglia a cubetti surgelati 2 kg",1.95 € / kg,2.0 kg
surgelati e gelati,"smart, fagiolini surgelati 1,5 kg",1.92 € / kg,1.5 kg
surgelati e gelati,"findus, fagiolini primavera surgelati 600 g",6.66 € / kg,0.6 kg
surgelati e gelati,"findus, pisellini primavera surgelati 450 g",7.76 € / kg,0.45 kg
surgelati e gelati,"smart, minestrone surgelato 1,5 kg",1.32 € / kg,1.5 kg
surgelati e gelati,"panapesca, gamberi argentini sgusciati surgelati peso netto 250 g",31.96 € / kg,0.25 kg
surgelati e gelati,"pizzoli, we love extrafini surgelati 750 g",3.67 € / kg,0.75 kg
surgelati e gelati,"white lab, olive all'ascolana impanate e surgelate 250 g",10.36 € / kg,0.25 kg
surgelati e gelati,"orogel, il benessere verdurì verdure scelte surgelate 800 g",4.37 € / kg,0.8 kg
surgelati e gelati,"iberia, vongolata congelata 200 g",19.90 € / kg,0.2 kg
surgelati e gelati,"ferrero, pocket coffee espresso 4 pezzi 164 g",27.38 € / kg,0.164 kg
surgelati e gelati,"italpizza, la numero uno margherita margherita 435 g",5.78 € / kg,0.435 kg
surgelati e gelati,"come una volta, contorno di patate zucchine e ""cipolla rossa di tropea calabria i.g.p"" surgelato 450 g",6.34 € / kg,0.45 kg
surgelati e gelati,"findus, piselli novelli surgelati 1,1 kg",5.00 € / kg,1.1 kg
surgelati e gelati,"orogel, la cucina italiana tris grigliato gusto ricco surgelato 400 g",4.85 € / kg,0.4 kg
surgelati e gelati,"findus, 4 fiori di merluzzo surgelati 300 g",24.64 € / kg,0.3 kg
surgelati e gelati,"mccain, forno express patatine da forno 7 minuti surgelate 500 g",6.78 € / kg,0.5 kg
surgelati e gelati,panzerottini al pomodoro e mozzarella surgelati 250 g,5.88 € / kg,0.25 kg
surgelati e gelati,"buitoni, bella napoli la classica margherita pizza surgelata 4 pezzi 900 g",8.77 € / kg,0.9 kg
surgelati e gelati,"come una volta, contorno di patate carote zucchine e olive surgelato 450 g",6.65 € / kg,0.45 kg
surgelati e gelati,"magnum, bomboniera classic 12 pezzi 104 ml",40.29 € / kg,
surgelati e gelati,"sammontana, barattolino classici crema 500 g",8.78 € / kg,0.5 kg
surgelati e gelati,"cornetto, classico 8 pezzi 480 g",14.98 € / kg,0.48 kg
surgelati e gelati,"orogel, il benessere soia edamame surgelati 330 g",9.07 € / kg,0.33 kg
surgelati e gelati,"findus, capitan 16 bastoncini di merluzzo surgelati 400 g",15.98 € / kg,0.4 kg
surgelati e gelati,"findus, minestrone tradizione leggero surgelato 700 g",5.28 € / kg,0.7 kg
surgelati e gelati,"orogel, il benessere leggerezza contorno più surgelato 600 g",6.16 € / kg,0.6 kg
surgelati e gelati,"zanini, farinata di ceci surgelata 320 g",7.91 € / kg,0.32 kg
surgelati e gelati,"findus, sofficini formaggi più mozzarella surgelati 4 pezzi 250 g",11.96 € / kg,0.25 kg
surgelati e gelati,"cornetto, mini classico 8 pezzi 288 g",13.86 € / kg,0.288 kg
surgelati e gelati,"11er elfer, rösti croccante surgelate 600 g",6.99 € / kg,0.6 kg
surgelati e gelati,"ice class, vongole del pacifico con guscio cotte e surgelate peso netto 500 g",9.78 € / kg,0.5 kg
surgelati e gelati,"iberia, misto per risotto e spaghetti congelato 300 g",13.94 € / kg,0.3 kg
surgelati e gelati,"lamb weston, twister fries seasoned surgelati 600 g",5.66 € / kg,0.6 kg
surgelati e gelati,"smart, gamberi indopacifici sgusciati scottati e surgelati 400 g",12.48 € / kg,0.4 kg
surgelati e gelati,"findus, fiori di nasello 6 pezzi surgelati 300 g",23.97 € / kg,0.3 kg
surgelati e gelati,"cuoco di bordo, filetti di branzino surgelati  peso al netto della glassatura 400 g",22.48 € / kg,0.4 kg
surgelati e gelati,"come una volta, zucchine grigliate surgelate 450 g",5.76 € / kg,0.45 kg
surgelati e gelati,"valsoia, bontà e salute il gelato coni 5 pezzi 375 g",12.14 € / kg,0.375 kg
surgelati e gelati,"orogel, buon minestrone surgelato 1 kg",3.99 € / kg,1.0 kg
surgelati e gelati,"cameo, big americans supreme pizza surgelata 450 g",11.74 € / kg,0.45 kg
surgelati e gelati,"magnum, classic 4 pezzi 316 g",18.01 € / kg,0.316 kg
surgelati e gelati,"bonduelle, spinaci millefoglie surgelati 750 g",4.26 € / kg,0.75 kg
surgelati e gelati,"esca, condipresto sugo pronto risotto e spaghetti surgelato 450 g",13.27 € / kg,0.45 kg
surgelati e gelati,"smart, pizza margherita surgelata 3 pezzi 900 g",4.11 € / kg,0.9 kg
surgelati e gelati,"pizza italia, 3 focacce alla toscana surgelate conf. 3x220 g",4.99 € / kg,0.66 kg
surgelati e gelati,"orogel, il benessere misto benessere contorno più surgelato 600 g",5.82 € / kg,0.6 kg
surgelati e gelati,"sammontana, barattolino classici panna 500 g",8.78 € / kg,0.5 kg
surgelati e gelati,"iberia, gamberi rosa sgusciati congelati conf. 2x125 g",22.92 € / kg,0.25 kg
surgelati e gelati,"findus, capitan 10 bastoncini con omega 3 250 g",19.96 € / kg,0.25 kg
surgelati e gelati,"white lab, mozzarelline impanate e surgelate 250 g",11.56 € / kg,0.25 kg
surgelati e gelati,"findus, capitan 30 bastoncini di merluzzo surgelati 750 g",14.00 € / kg,0.75 kg
surgelati e gelati,"cucciolone, l'originale classico 6 pezzi 480 g",11.44 € / kg,0.48 kg
surgelati e gelati,"bonduelle, natura in padella melanzane e zucchine grigliate con carote e pomodori surgelate 450 g",7.65 € / kg,0.45 kg
surgelati e gelati,"findus, sofficini spinaci più mozzarella surgelati 4 pezzi 250 g",11.96 € / kg,0.25 kg
surgelati e gelati,"i&j, cuori di filetto di nasello sudafricano porzionati surgelati 300 g",10.47 € / kg,0.3 kg
surgelati e gelati,"iberia, tris cozze vongole e gamberi sgusciati congelati 250 g",16.72 € / kg,0.25 kg
surgelati e gelati,"findus, green cuisine medaglioni di zucchine 200 g",16.45 € / kg,0.2 kg
surgelati e gelati,"mccain, forno country patatine da forno taglio rustico surgelate 650 g",5.22 € / kg,0.65 kg
surgelati e gelati,"cucina sartor, porcini cubi congelati 300 g",14.97 € / kg,0.3 kg
surgelati e gelati,"aia, cordon bleu surgelati 4 pezzi 480 g",13.11 € / kg,0.48 kg
surgelati e gelati,"bonduelle, coccole tortini di spinaci fagiolini e broccoli surgelati 8 pezzi 300 g",11.11 € / kg,0.3 kg
surgelati e gelati,"cuoco di bordo, filetti di orata surgelati peso al netto della glassatura 400 g",22.48 € / kg,0.4 kg
surgelati e gelati,"iberia, seppie pulite congelate 400 g",19.65 € / kg,0.4 kg
surgelati e gelati,"schär, pizza margherita lactose free surgelata 350 g",12.55 € / kg,0.35 kg
surgelati e gelati,"mare, bontà d'amare fritto misto di pesce surgelato 450 g",12.65 € / kg,0.45 kg
surgelati e gelati,"sammontana, barattolino delizie di vaniglia e pistacchio 500 g",9.98 € / kg,0.5 kg
surgelati e gelati,"lamb weston, potato dippers 650 g",4.60 € / kg,0.65 kg
surgelati e gelati,"smart, bastoncini di merluzzo surgelati 30 pezzi 900 g",4.64 € / kg,0.9 kg
surgelati e gelati,"findus, filetti di merluzzo surgelati 360 g",23.59 € / kg,0.36 kg
surgelati e gelati,"come una volta, caponata alla siciliana di melanzane e peperoni surgelata 450 g",6.21 € / kg,0.45 kg
surgelati e gelati,"montana, hamburger naturali surgelati conf. 4x100 g",11.73 € / kg,0.4 kg
surgelati e gelati,"findus, capitan nuggets di merluzzo d'alaska surgelati 245 g",20.37 € / kg,0.245 kg
surgelati e gelati,"mare, vongole sgusgiate e surgelate peso netto 250 g peso sgocciolato 100 g",22.90 € / kg,0.1 kg
surgelati e gelati,"bonduelle, natura in padella fagiolini e patate surgelati 450 g",4.43 € / kg,0.45 kg
surgelati e gelati,"orogel, il benessere leggerezza verdurì surgelato 800 g",4.49 € / kg,0.8 kg
surgelati e gelati,"indianino, ghiaccioli gusti assortiti 10 pezzi 750 g",3.99 € / kg,0.75 kg
surgelati e gelati,"iberia, bis cozze e vongole sgusciate congelate conf. 2x125 g",15.92 € / kg,0.25 kg
surgelati e gelati,"magnum, mandorle 4 pezzi 328 g",17.35 € / kg,0.328 kg
surgelati e gelati,"tyson, speedy pollo the original surgelati 450 g",12.21 € / kg,0.45 kg
surgelati e gelati,"montana, hamburger con bacon surgelati conf. 4x100 g",11.73 € / kg,0.4 kg
surgelati e gelati,"findus, ciuffetti di spinaci primavera surgelati 800 g",4.99 € / kg,0.8 kg
surgelati e gelati,"bonduelle, piselli tenerezza surgelati 600 g",3.49 € / kg,0.6 kg
surgelati e gelati,"come una volta, zuppa alla toscana surgelata 600 g",4.99 € / kg,0.6 kg
surgelati e gelati,"findus, 4 salti in padella gnocchetti alla sorrentina surgelati 550 g",7.26 € / kg,0.55 kg
surgelati e gelati,"ferrero, kinder bueno gelato 4 pezzi 248 g",18.11 € / kg,0.248 kg
surgelati e gelati,"sammontana, coppa oro amarena 4 pezzi 360 g",8.34 € / kg,0.36 kg
surgelati e gelati,"le delizie di parma, lasagne alla bolognese 300 g",9.97 € / kg,0.3 kg
surgelati e gelati,"'a pizza, margherita surgelata 430 g",11.61 € / kg,0.43 kg
surgelati e gelati,"smart, fritto di mare pastellato e surgelato 300 g",8.77 € / kg,0.3 kg
surgelati e gelati,"sammontana, cinque stelle croccantino coni 6 pezzi 450 g",11.54 € / kg,0.45 kg
surgelati e gelati,"norsk sjømat as, filetti di merluzzo nordico «skrei» surgelati conf. 3x140 g",26.17 € / kg,0.42 kg
surgelati e gelati,"findus, 2 fiori di branzino surgelati 200 g",46.75 € / kg,0.2 kg
surgelati e gelati,"findus, 2 burger di salmone con limone e aneto surgelato 170 g",31.12 € / kg,0.17 kg
surgelati e gelati,"findus, capitan filetti di platessa impanati surgelati 250 g",25.96 € / kg,0.25 kg
surgelati e gelati,"maxibon, classic 6 pezzi 576 g",11.97 € / kg,0.576 kg
surgelati e gelati,"orogel, il benessere tricolore surgelato 600 g",5.66 € / kg,0.6 kg
surgelati e gelati,"sammontana, barattolino classici croccantino 500 g",8.78 € / kg,0.5 kg
surgelati e gelati,"panapesca, cuori di merluzzo surgelati 400 g",15.98 € / kg,0.4 kg
surgelati e gelati,"italpizza, la ""verace napoletana"" surgelata 415 g",8.68 € / kg,0.415 kg
surgelati e gelati,"findus, 2 burger di merluzzo con prezzemolo e limone surgelati 170 g",27.59 € / kg,0.17 kg
surgelati e gelati,"sammontana, gruvi pistacchio 4 pezzi 240 g",12.46 € / kg,0.24 kg
surgelati e gelati,"motta, coppa del nonno chicchi al caffè 220 g",19.05 € / kg,0.22 kg
surgelati e gelati,"findus, 4 salti in padella penne tricolore surgelate 550 g",7.26 € / kg,0.55 kg
surgelati e gelati,"cameo, ristorante pizza ai quattro formaggi surgelata 340 g",11.74 € / kg,0.34 kg
surgelati e gelati,"smart, pennette all'arrabbiata surgelate 600 g",3.49 € / kg,0.6 kg
surgelati e gelati,"forno della rotonda, baguette mignon surgelate 500 g",4.38 € / kg,0.5 kg
surgelati e gelati,"pizzoli, patasnella casalinghe con buccia surgelate 600 g",3.37 € / kg,0.6 kg
surgelati e gelati,"oggi pesce, polpetti indopacifici puliti surgelati al netto della glassatura 400 g",14.35 € / kg,0.4 kg
surgelati e gelati,"come una volta, peperoni grigliati surgelati 450 g",6.56 € / kg,0.45 kg
surgelati e gelati,"zanini, antica focaccia ligure al formaggio surgelata 300 g",16.31 € / kg,0.3 kg
surgelati e gelati,"mare, bontà d'amare anelli di totano croccanti surgelati 450 g",7.23 € / kg,0.45 kg
surgelati e gelati,"polaretti, fruit green ghiaccioli pronti da gelare 10 pezzi 420 ml",5.93 € / l,
surgelati e gelati,"pescanova, fiori di filetto di merluzzo sudafricano surgelati 360 g",14.70 € / kg,0.36 kg
surgelati e gelati,"fandicosta, code di gambero atlantico sgusciate congelate 210 g",33.29 € / kg,0.21 kg
surgelati e gelati,"aia, cotolette di filetti di pollo surgelate 5 pezzi 500 g",12.58 € / kg,0.5 kg
surgelati e gelati,"ice class surgelati, gamberi sgusciati e scottati surgelati peso al netto della glassatura 400 g",18.38 € / kg,0.4 kg
surgelati e gelati,"indianino, zero calorie ghiaccioli 10 pezzi 750 g",4.28 € / kg,0.75 kg
surgelati e gelati,"sammontana, barattolino delizie di nocciola 500 g",9.98 € / kg,0.5 kg
surgelati e gelati,"cameo, ristorante pizza margherita saporita surgelata 330 g",11.37 € / kg,0.33 kg
surgelati e gelati,"smart, burger di salmone surgelati conf. 2x80 g",13.07 € / kg,0.16 kg
surgelati e gelati,"italpizza, 26x38 salamino & provolone surgelata 535 g",9.33 € / kg,0.535 kg
surgelati e gelati,"cameo, ristorante pizza al tonno surgelata 355 g",11.20 € / kg,0.355 kg
surgelati e gelati,"ferrero, kinder bueno white gelato 4 pezzi 248 g",18.11 € / kg,0.248 kg
surgelati e gelati,"iberia, fantasia di gamberi vongole e zucchine congelata 300 g",12.64 € / kg,0.3 kg
surgelati e gelati,"orogel, cubello spinaci foglia più surgelati 600 g",4.66 € / kg,0.6 kg
surgelati e gelati,"come una volta, i ricettati cimette di rapa alla pugliese surgelate 300 g",13.31 € / kg,0.3 kg
surgelati e gelati,"asiago food, misto frutti di bosco bio surgelato 300 g",12.31 € / kg,0.3 kg
surgelati e gelati,"findus, fiori di salmone surgelati 2 pezzi 200 g",44.95 € / kg,0.2 kg
surgelati e gelati,"roncadin, extra voglia classica a bordo alto margherita surgelata 415 g",12.03 € / kg,0.415 kg
surgelati e gelati,"bonduelle, coccole tortini di broccoli e carote surgelati 8 pezzi 300 g",11.11 € / kg,0.3 kg
surgelati e gelati,"italpizza, la ""verace margherita alta"" surgelata 425 g",8.92 € / kg,0.425 kg
surgelati e gelati,"albatros, polpo intero eviscerato congelato  1100 g",20.99 € / kg,1.1 kg
surgelati e gelati,"italpizza, la numero uno salamino surgelata 410 g",6.13 € / kg,0.41 kg
surgelati e gelati,"gelatomadre, buontalenti ricetta originale 350 g",11.58 € / kg,0.35 kg
surgelati e gelati,"panapesca, spiedini di mare surgelati peso al netto della glassatura 400 g",19.63 € / kg,0.4 kg
surgelati e gelati,"essegel, quelli di una volta ghiaccioli assoriti 10 pezzi  700 g",3.99 € / kg,0.7 kg
surgelati e gelati,"magnum, white chocolate 4 pezzi 316 g",18.01 € / kg,0.316 kg
surgelati e gelati,"cameo, ristorante pizza al salame surgelata 320 g",11.72 € / kg,0.32 kg
surgelati e gelati,"i&j, filetti croccanti di merluzzo sudafricano surgelati 400 g",12.73 € / kg,0.4 kg
surgelati e gelati,"italpizza, 26x38 prosciutto & funghi surgelata 570 g",8.76 € / kg,0.57 kg
surgelati e gelati,"sammontana, cinque stelle panna cono 6 pezzi 450 g",11.54 € / kg,0.45 kg
surgelati e gelati,"ferrero, rocher classic gelato conf. 4x50 g",22.45 € / kg,0.2 kg
surgelati e gelati,"aia, spinaccine surgelate 5 pezzi 500 g",10.98 € / kg,0.5 kg
surgelati e gelati,"aia, i nuggets di pollo selezione gourmet surgelato 260 g",14.12 € / kg,0.26 kg
surgelati e gelati,"meran, yogurteria merano frozen yogurt naturale 250 g",13.56 € / kg,0.25 kg
surgelati e gelati,"smart, tortiglioni al ragù surgelati 600 g",3.66 € / kg,0.6 kg
surgelati e gelati,"cuoco di bordo, filetti di platessa impanati surgelati 600 g",12.66 € / kg,0.6 kg
surgelati e gelati,"i&j, cuori di filetto di merluzzo sudafricano porzionati surgelati 400 g",13.38 € / kg,0.4 kg
surgelati e gelati,"fandicosta, anelli di totano surgelati peso netto 1 kg peso netto scongelato 900 g",11.77 € / kg,0.9 kg
surgelati e gelati,"buitoni, bella napoli la classica margherita pizza surgelata 2 pezzi 650 g",8.91 € / kg,0.65 kg
surgelati e gelati,"findus, capitan 10 bastoncini senza glutine surgelati 300 g",16.64 € / kg,0.3 kg
surgelati e gelati,"maremundi, merluzzo nordico a porzioni congelato 400 g",22.23 € / kg,0.4 kg
surgelati e gelati,"bocon, melanzane alla parmigiana surgelate 400 g",6.98 € / kg,0.4 kg
surgelati e gelati,"orogel, tantocuore carciofi mezzi surgelati 300 g",14.97 € / kg,0.3 kg
surgelati e gelati,"findus, filetti di platessa alla mugnaia surgelati 250 g",19.96 € / kg,0.25 kg
surgelati e gelati,"italpizza, 12x30 cm margherita sfiziosa pizza surgelata 250 g",11.40 € / kg,0.25 kg
surgelati e gelati,"findus, capitan 2 croccole senza glutine surgelate 250 g",19.96 € / kg,0.25 kg
surgelati e gelati,"italpizza, che pinsa! pomodoro + mozzarella surgelata 410 g",11.83 € / kg,0.41 kg
surgelati e gelati,"carte d'or, tiramisù 500 g",9.98 € / kg,0.5 kg
surgelati e gelati,"carte d'or, panna 500 g",9.98 € / kg,0.5 kg
surgelati e gelati,"sammontana, barattolino delizie l'amarena di coppa oro 500 g",9.98 € / kg,0.5 kg
surgelati e gelati,"valsoia, bontà e salute il gelato stecchi ricoperti al cioccolato 3 pezzi 250 g",15.96 € / kg,0.25 kg
surgelati e gelati,"i&j, filetti di merluzzo sudafricano porzionati surgelati 400 g",14.38 € / kg,0.4 kg
